epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,120.126,0.54773,1.10748,3.84598,0.00706,8.12449,0.83342,0.24662,0.29728,0.24625,0.8325,0.24205,0.28011,0.24775,1.01837,1.94104,3.42701,0.01608,0,0.000414258,0.000414258,0.000414258
2,208.003,0.63825,0.74599,1.81618,0.00855,2.07324,0.80861,0.32967,0.32299,0.25327,0.79962,0.32141,0.30599,0.25939,1.15841,2.22434,1.91506,0.01789,0,0.000789794,0.000789794,0.000789794
3,293.73,0.67098,0.79151,0.94198,0.00834,1.49518,0.65245,0.37996,0.36957,0.27838,0.64314,0.36783,0.35254,0.2717,1.21985,2.08827,1.57899,0.02133,0,0.00112408,0.00112408,0.00112408
4,380.077,0.60827,0.69373,0.67512,0.00829,0.50278,0.6249,0.44109,0.38859,0.28535,0.60488,0.42287,0.36933,0.28227,1.18548,1.77419,1.50021,0.01794,0,0.00106437,0.00106437,0.00106437
5,463.788,0.609,0.6334,0.5414,0.00798,0.22342,0.65973,0.46239,0.45211,0.32975,0.63945,0.44694,0.44387,0.33789,1.03877,1.89083,1.21402,0.01585,0,0.0010025,0.0010025,0.0010025
6,547.043,0.54996,0.61715,0.45834,0.00692,0.21866,0.77597,0.44368,0.52913,0.40189,0.76916,0.428,0.5166,0.41235,1.03627,1.86631,1.3465,0.01341,0,0.000940625,0.000940625,0.000940625
7,630.342,0.55349,0.638,0.43461,0.0064,0.20426,0.75408,0.43596,0.55225,0.40482,0.76919,0.41899,0.5405,0.42029,1.02914,1.72161,1.13825,0.0149,0,0.00087875,0.00087875,0.00087875
8,715.93,0.49468,0.55717,0.36241,0.00576,0.16692,0.79133,0.48296,0.54734,0.40458,0.77057,0.46986,0.56082,0.43286,1.0226,1.6303,1.14533,0.01424,0,0.000816875,0.000816875,0.000816875
9,799.166,0.46438,0.51704,0.33253,0.00558,0.16383,0.68305,0.48315,0.49621,0.36898,0.64893,0.45429,0.47024,0.36476,1.07728,1.80442,1.22523,0.01573,0,0.000755,0.000755,0.000755
10,883.083,0.46068,0.52741,0.32875,0.00528,0.14333,0.63374,0.59214,0.59754,0.45067,0.64986,0.56739,0.5679,0.45905,0.92039,1.57066,0.9652,0.01179,0,0.000693125,0.000693125,0.000693125
11,964.815,0.52821,0.494,0.32281,0.01066,0.1045,0.69264,0.46258,0.55884,0.45832,0.70277,0.42919,0.53199,0.46416,0.99147,1.6093,1.15116,0.01324,0,0.00063125,0.00063125,0.00063125
12,1042.97,0.44469,0.46487,0.25834,0.00838,0.06839,0.58679,0.65917,0.61775,0.48739,0.56522,0.63817,0.63083,0.49598,0.84888,1.56335,0.93486,0.00992,0,0.000569375,0.000569375,0.000569375
13,1121.01,0.41075,0.44346,0.22641,0.00727,0.05926,0.57836,0.57796,0.58556,0.47521,0.55727,0.56024,0.56851,0.48809,0.91322,1.50712,1.03158,0.01076,0,0.0005075,0.0005075,0.0005075
14,1199.81,0.36714,0.40692,0.21223,0.00607,0.05909,0.65746,0.54496,0.59616,0.47028,0.62672,0.52269,0.57137,0.47373,0.88071,1.50652,1.06974,0.00967,0,0.000445625,0.000445625,0.000445625
15,1279.78,0.3779,0.42967,0.20953,0.00627,0.05251,0.56744,0.63944,0.59635,0.48198,0.55288,0.62463,0.57789,0.49061,0.84491,1.51867,1.00821,0.00877,0,0.00038375,0.00038375,0.00038375
16,1358.25,0.34998,0.41921,0.19552,0.00556,0.04921,0.59624,0.63944,0.60462,0.48166,0.58869,0.63159,0.59044,0.49186,0.87752,1.48385,0.96814,0.00938,0,0.000321875,0.000321875,0.000321875
17,1435.78,0.32259,0.37858,0.18132,0.00484,0.04715,0.67337,0.62894,0.62877,0.52163,0.66167,0.62169,0.60917,0.51185,0.81437,1.49969,0.93306,0.008,0,0.00026,0.00026,0.00026
18,1513.25,0.31113,0.38967,0.16961,0.00469,0.04696,0.6159,0.64273,0.62199,0.52585,0.5976,0.6283,0.60029,0.51691,0.80858,1.48543,0.96009,0.00806,0,0.000198125,0.000198125,0.000198125
19,1591.04,0.30645,0.39869,0.16718,0.00449,0.04639,0.66951,0.63149,0.62128,0.51505,0.64352,0.61683,0.59846,0.51325,0.80191,1.48903,0.94837,0.00784,0,0.00013625,0.00013625,0.00013625
20,1668.63,0.2854,0.36432,0.15885,0.00413,0.04502,0.65046,0.61853,0.61792,0.51996,0.62134,0.59841,0.59775,0.51237,0.80123,1.50774,0.92635,0.00773,0,7.4375e-05,7.4375e-05,7.4375e-05
